GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
untitled,com.ya,Account,0,46,0,10,0,10,0,7,0,2
untitled,com.ya,Praktikum,15,0,0,0,5,0,2,0,2,0
